architecture,seed,fold,n_train,n_val,mse,r2,train_mse,gap,epochs_run,best_epoch,early_stopped,mse_HC,mse_NOx,mse_CO2,mse_PM,mse_eta
A5,2,3,27,7,0.033559358102267574,0.19152134617658345,0.03577556167199016,-0.0022162035697225885,68,38,true,0.04747073954478335,0.02187159860899503,0.05940594046317244,0.034814672850913254,0.0042338390434737755
A5,2,4,28,6,0.04206412807368198,0.6734188313711877,0.007354225082820413,0.034709902990861574,300,300,false,0.02989413020824405,0.015527254260738978,0.009402234402245028,0.1317179823599824,0.023779039137199465
A6,0,0,27,7,0.014089550873632074,0.6664740266491068,0.010355007138097595,0.0037345437355344787,300,300,false,0.007397728575285224,0.006145216356208684,0.007139081423929792,0.03735786138518802,0.012407866627548654
A6,0,1,27,7,0.041611493309431494,0.6470818573878265,0.00761771318446285,0.03399378012496864,271,241,true,0.02426746478197416,0.02669631984361073,0.011229192167571638,0.11631731567486606,0.029547174079134902
A6,0,2,27,7,0.02362583830760966,-1.3922670194569071,0.055630441405576256,-0.0320046030979666,41,11,true,0.02718700704859614,0.015614272283147438,0.028082624716114054,0.02442788197128441,0.022817405518906275
A6,0,3,27,7,0.0177314981860087,0.7719851879534668,0.011389022782561101,0.0063424754034475984,185,155,true,0.05227351658298425,0.003253178638038347,0.0015516223685354666,0.005773759779852268,0.02580541356063317
A6,0,4,28,6,0.011442789269373416,0.8645145258715513,0.007856618943020328,0.0035861703263530883,300,286,false,0.00938628047931734,0.009166895567167457,0.009134636170523434,0.009661390479845806,0.01986474365001305
A6,1,0,27,7,0.019636510758182214,0.6883755846045797,0.008673866050222951,0.010962644707959263,300,300,false,0.04180710348175599,0.003492393133178409,0.00758712469881523,0.0134903499275396,0.031805582549621854
A6,1,1,27,7,0.004537484559949577,0.8170424958214033,0.012056066210030515,-0.007518581650080938,300,300,false,0.003530036453127717,0.003638337947038636,0.0010519333686074591,0.011855036156173828,0.002612078874800244
A6,1,2,27,7,0.02053650158344248,-0.26986669510283945,0.04731236086752186,-0.026775859284079377,38,8,true,0.01962285603445701,0.02400401205404856,0.024099675977512634,0.02437163485899458,0.01058432899219964
A6,1,3,27,7,0.040141244750059236,-0.5320951483018317,0.02985938354250766,0.010281861207551576,58,28,true,0.003880101089993764,0.07263307603719125,0.05320278427508206,0.04142881938086024,0.029561442967168863
A6,1,4,28,6,0.13708973434216665,0.2055495181371857,0.004637414362976876,0.13245231997918977,300,300,false,0.062187280641802324,0.01911961143328057,0.012540978899176198,0.5435787521013805,0.04802204863519372
